zip,UB_supply_0_12_ignore_spacing,need_0_12,UB_supply_0_5_ignore_spacing,need_0_5,hopeless_0_12,hopeless_0_5
13074,40048.0,350.6,20000.0,174.53333333333333,False,False
13076,40019.2,147.26666666666665,20000.0,83.46666666666667,False,False
13077,40139.2,287.46666666666664,20000.0,187.33333333333331,False,False
13078,40028.8,653.4666666666667,20000.0,490.66666666666663,False,False
13080,40028.8,156.79999999999998,20000.0,153.86666666666667,False,False
13081,40000.0,56.666666666666664,20000.0,43.199999999999996,False,False
13082,40000.0,257.2,20000.0,158.0,False,False
13083,40000.0,134.5,20000.0,72.53333333333333,False,False
13084,40067.2,256.8,20000.0,122.0,False,False
13087,40000.0,2.8,20000.0,0.9333333333333333,False,False
13088,40830.4,892.1999999999999,20257.0,718.2666666666667,False,False
13090,41318.8,1601.4666666666665,20296.0,1291.1999999999998,False,False
13092,40009.6,210.73333333333335,20000.0,136.0,False,False
13101,40076.8,285.5,20000.0,109.46666666666665,False,False
13102,40000.0,0.0,20000.0,0.0,False,False
13103,40000.0,10.8,20000.0,4.933333333333334,False,False
13104,40621.6,916.8666666666666,20349.0,699.3333333333333,False,False
13108,40178.8,244.73333333333335,20053.0,148.39999999999998,False,False
13110,40000.0,98.73333333333335,20000.0,90.26666666666667,False,False
13111,40000.0,221.6,20000.0,93.46666666666665,False,False
13112,40009.6,127.79999999999998,20000.0,88.79999999999998,False,False
13113,40000.0,0.0,20000.0,0.0,False,False
13114,40116.4,387.3333333333333,20000.0,265.2,False,False
13115,40000.0,17.799999999999997,20000.0,5.066666666666666,False,False
13116,40134.4,189.13333333333333,20028.0,111.6,False,False
13117,40000.0,16.6,20000.0,4.3999999999999995,False,False
13118,40073.2,242.86666666666662,20037.0,157.86666666666667,False,False
13119,40000.0,0.0,20000.0,0.0,False,False
13120,40052.8,147.0,20008.0,95.6,False,False
13121,40000.0,0.0,20000.0,0.0,False,False
13122,40000.0,30.199999999999996,20000.0,24.8,False,False
13123,40000.0,0.0,20000.0,0.0,False,False
13124,40000.0,3.866666666666667,20000.0,1.8666666666666665,False,False
13126,40754.8,1691.7333333333331,20257.0,1311.0666666666666,False,False
13131,40009.6,152.79999999999998,20000.0,138.13333333333333,False,False
13132,40009.6,140.2,20000.0,103.2,False,False
13134,40000.0,0.19999999999999998,20000.0,0.0,False,False
13135,40189.6,385.73333333333323,20040.0,387.8666666666666,False,False
13136,40000.0,44.1,20000.0,21.333333333333332,False,False
13138,40000.0,4.6,20000.0,0.0,False,False
13140,40000.0,305.4,20000.0,124.39999999999999,False,False
13141,40000.0,40.4,20000.0,49.6,False,False
13142,40048.0,243.06666666666666,20000.0,181.86666666666667,False,False
13143,40000.0,292.0,20000.0,167.46666666666664,False,False
13144,40000.0,133.9,20000.0,74.0,False,False
13145,40079.2,160.2,20000.0,97.6,False,False
13146,40009.6,198.89999999999998,20000.0,109.73333333333332,False,False
13147,40000.0,40.733333333333334,20000.0,42.13333333333333,False,False
13148,40282.0,763.4,20117.0,415.4666666666667,False,False
13152,40252.0,372.06666666666666,20084.0,306.0,False,False
13153,40009.6,46.0,20000.0,37.33333333333333,False,False
13154,40000.0,0.0,20000.0,0.0,False,False
13155,40012.0,39.5,20000.0,19.066666666666666,False,False
13156,40000.0,80.73333333333332,20000.0,74.13333333333333,False,False
13157,40000.0,23.199999999999996,20000.0,21.066666666666666,False,False
13158,40000.0,62.4,20000.0,39.86666666666666,False,False
13159,40175.2,247.7333333333333,20018.0,195.59999999999997,False,False
13160,40031.2,135.79999999999998,20000.0,89.33333333333333,False,False
13162,40000.0,30.199999999999996,20000.0,31.733333333333334,False,False
13163,40000.0,8.133333333333333,20000.0,5.066666666666666,False,False
13164,40019.2,222.86666666666667,20000.0,175.06666666666666,False,False
13165,40261.6,709.8,20084.0,453.59999999999997,False,False
